name,address,city,price_level,cuisine,description,phone,url
同,中正區館前路22號2樓 (正旅館藍),Taipei,$$,"粵菜, 時尚菜",由經驗豐富的港籍主廚領軍，運用時令食材，融合個人創意與異國醬料，為經典粵菜增添趣味。依據午、晚時段提供兩種價位的套餐，亦有些許小炒可以加點。千錘百鍊黑叉燒使用臺灣五花肉，經過捶打將肉質軟化，再以馬來西亞黑醬油製成叉燒醬，色澤烏黑透亮，味道香甜不膩口。調酒飲品選擇多樣，呼應各種美食。,+886 976 684 366,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/junto
鮨 嘉仁,中山區吉林路28號,Taipei,$$$$,壽司,吧檯以臺灣檜木製成，搭配日本漆器餐具，在柔和光影中感受空間的簡約與雅致。日籍料理長經驗豐富，每周從日本豐洲市場進貨兩次，確保食材的新鮮和多元。菜單以江戶前風格為基礎，依據魚貨的熟成狀態設計菜色，與粒粒分明的醋飯達致絕妙平衡。如果在春夏之際到訪，不要錯過招牌的小肌魚。,+886 2 2581 8999,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/sushi-kajin
天婦羅 杉村,中山區樂群二路199號2樓 (中城廣場),Taipei,$$$$,天婦羅,這天婦羅店秉承其日本姊妹店的料理手法，輕盈的麵衣選用日本進口的麵粉，炸油則以玉米油及白胡麻油製成，讓其增添堅果奶油般的香氣。為了確保食材新鮮，餐廳每天進貨兩次，並因應食材調整菜單。搭配天婦羅的佐料，除了醬汁、海藻鹽，還有店家自製的咖喱鹽，別具特色。如在五、六月前往，將品嚐到招牌香魚料理。,+886 2 8501 1157,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/tempura-sugimura
鯷魚,前鎮區林森三路116號,Kaohsiung,$$,時尚歐陸菜,食材由主廚每日於市場及前鎮漁港採買而來，菜色以魚肉料理為主軸，配合發酵、醃漬等技法，呈現獨特風味。僅提供套餐，當中固定保留招牌的螺肉藥膳湯，將當歸、川芎、瑤柱、花菇等食材與魚高湯一同熬煮，並重複澄清，味道溫潤鮮美，搭配野薑花的香氣，令人一試難忘。餐廳採取統一用餐時段，必須準時到達。,+886 965 829 037,https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/anchovy
白玉樓,前鎮區中華五路789號6樓 (夢時代),Kaohsiung,$$,臺灣菜,採用傳統卡座及圓桌，環境簡約雅致。餐廳傳承至第四代，主廚手藝來自父親，將六十年代的酒家菜延續至今。菜餚著重醬香風味，適合多人分享，另有個人套餐在平日供應，讓獨自用餐的客人也可嚐到不同菜餚。其中白菜滷選用金鉤蝦米、扁魚與雞骨等以小火慢燉至少三小時，最後加入干貝絲增添鮮味，是不能錯過的招牌菜。,+886 7 841 8555,https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/pale-jade-pavilion
山与,西屯區惠來路一段88號,Taichung,$$$$,粵菜,入口處設有天然石櫃台，牆壁刷上紅土漆，搭配藝術品點綴，風格別致大氣。來自香港的主廚擅長烹調粵菜，提供四種不同價位的套餐，包含經典手路菜、創意料理，還有以日本花菇、澳洲八頭乾鮑等珍貴食材入菜的菜色，並會按照時令，每季更新菜單。所有座位均為包廂，舒適且具有隱私。,+886 4 2251 5208,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shineyu
Lin,大安區仁愛路四段300巷25弄6號,Taipei,$$$,時尚法國菜,餐廳位於寧靜的巷弄裡，室內設有開放式廚房，讓客人觀賞整個烹調過程。主廚擁有多年精緻餐飲的經驗，菜單以傳統法餐為概念，當中融合臺灣食材與主廚的旅遊經驗。不妨加點傳統柑橘可麗餅，廚師會在席前現場製作，可麗餅煮至軟嫩，同時保有柑橘香氣，為用餐體驗畫下完美句號。,+886 2 2368 7868,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/lin
明娟樓,西區館前路77號2樓 (勤美洲際酒店),Taichung,$$$,粵菜,環境精緻華美而氣氛愜意，不論是商務宴請或朋友聚會，都能盡興而歸。由經驗豐富的廚師掌杓，菜單保留粵菜的精髓之餘融入創意巧思，並大量採用臺灣時令水果與茶葉。如軟嫩多汁的烏龍茶香蜜汁叉燒，不僅有麥芽糖的香甜，還滲出蜂蜜鳳梨醬的果香，十分推薦，惟每日限量製作，須提前預留。也別錯過濃椰芋香西米露。,+886 4 2324 6324,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/ming-juan-lou
Yuu,大安區忠孝東路四段216巷33弄15號,Taipei,$$$$,創新菜,餐廳以木牆面配上黑色吧檯，形成沉穩的空間氛圍。主廚曾在日本深造多年，將其自身經驗結合不同國家的料理風格，運用直火方式呈現菜餚。午、晚餐各提供不同價位的套餐，並根據當天的食材更換菜單內容。招牌牛肉的產地包括美國、澳洲、日本的佐賀和近江，經過主廚的巧手匠心，展現出各自的風味和特色。,+886 2 2711 2080,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/yuu
AJIMI,大安區四維路52巷19弄5號,Taipei,$$$$,日本菜,這家在福岡發源的餐廳，菜單採用無菜單料理形式，主廚將臺灣時令食材融入精緻的割烹料理之中。不要錯過烤味噌烏魚子，賣相雖簡單，一口咬下卻是外脆內軟、鮮香洋溢，是主廚得意之作。提供清酒搭配，令餐飲體驗更圓滿。店內提供12個板前座位，亦設有日式茶室，整體氣氛平和寧靜。,+886 2 2703 1881,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/ajimi
元一,大安區忠孝東路四段216巷27弄11號,Taipei,$$$$,天婦羅,餐廳主打精緻而正宗的天婦羅料理，採用優質時令食材，配合日本傳統技巧，使天婦羅的外層金黃酥脆，呈現上佳的風味和口感。菜單為無菜單料理形式，每一道天婦羅的配菜皆經廚師精心搭配。用餐環境優雅寧靜，設有兩個房間，各設八個座位，讓客人近距離欣賞猶如藝術饗宴的烹調過程。,+886 2 2778 3380,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/motoichi
雲川水月,松山區富錦街120號,Taipei,$$,素食,餐廳擁有大片庭院，走過蜿蜒的礫石小徑進入室內，隨即沉浸在充滿圓弧元素的暖色空間，好讓客人放鬆心情享用美食。菜色以臺灣原型食材為框架，融入主廚的經驗，創造出蘊含亞洲風味的當代蔬食料理，味道優雅細緻，同時保留蔬菜的本真滋味。建議於中午到訪，欣賞自然光影灑落庭院內，甚是愜意。,+886 2 2514 0356,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/clavius
蓮霧腳羊肉湯,新化區中正路361號,Tainan,$,小吃,傳承超過70年的老店，選用當日直送的溫體羊肉，亦提供羊肝、羊頭皮等特殊部位。僅在假日販售的羊皮卷充滿彈性與膠質，搭配秘製醬汁，深受老饕喜愛。羊肉湯採用熬煮至少四小時的當歸湯底，搭配口感軟嫩的羊肉片，令人回味。還有以羊油炒製的肉燥飯，羊油香與醬香互相交融，非常可口。為免向隅，建議提早前往。,+886 937 789 004,https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/lien-wu-chiao-lamb-soup
Bencotto,松山區敦化北路158號6樓 (文華東方酒店),Taipei,$$$,義大利菜,這家開立多年的義式餐廳，創造典雅而悠閒的用餐空間。主廚於義大利成長，工作經驗遍歷多國，累積了深厚的廚藝底蘊。提供單點菜餚及套餐，菜色依據時令調整，偶有限量供應的隱藏菜色，不妨向店員查詢。其中一道手切鳥巢麵用上熟成六個月的帕馬森起司與冬季黑松露、奶油醬，濃郁風味配上彈牙的麵體，令人印象深刻。,+886 2 2715 6868,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/bencotto
川泰號虱目魚丸,中西區大同路一段222號,Tainan,$,小吃,老闆曾在魚丸店工作超過30年，其後創立本店，提供小吃和選擇多樣的湯品、丸類。招牌脆丸使用純虱目魚漿製作，經過長時間反覆捶打，特具脆度與彈性。綜合湯品包含數款店家自製的丸類，還有新鮮的虱目魚肚和魚皮，食用時蘸點帶黃豆醬香的豆瓣醬，更加美味。滷肉飯油脂豐盈，結合香菜香氣，滋味令人難忘。,+886 6 216 0928,https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/chuan-tai-hao-milkfish-ball
川雅,信義區松智路17號46樓 (微風南山),Taipei,$$$,川菜,餐廳高踞46樓，整片玻璃窗將臺北101與市內景色盡收眼底。主廚擁有30年廚齡，曾赴四川取經，將烹飪精髓糅合成三款套餐，當中橫跨川菜中的官府菜乃至家常美食，精巧呈現各類味型。川雅尋味套餐讓食客自行搭配菜色，不論是工序費時的開水白菜，還是潔白如雪的龍蝦雪花雞淖，其細緻滋味均令人難以忘懷。,+886 2 2722 0303,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/chuan-ya
心宴,中山區明水路598號,Taipei,$$$$,"創新菜, 江浙菜",室內擺放了臺灣當代藝術家的畫作與雕塑，讓環境更顯活潑生氣。掌杓逾30年的主廚擅長烹調杭州與江浙料理，並不拘泥於傳統框架，不單將經典老菜與西式技術融會貫通，還採用客家醃菜、日本海藻、番紅花等特色食材，以十道菜套餐呈現，菜色風格自由奔放，饒富創意。精選茶品圍繞菜餚主題而設計，可進一步提升用餐體驗。,+886 2 8501 5980,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/amaze
功夫上海手工魚丸,西區中美街380號,Taichung,$,小吃,門口以懷舊攤車作爐台，配上古典音樂，營造出獨特氛圍。店內的醬汁、魚丸及餛飩，都由老闆親力親為製作，不假他人之手。其中上海蔥油拌麵用上臺中水湳市場的生麵，口感極佳，僅以蔥段煮出自然鹹香，清爽且滋味十足，十分推薦。雪菜魚丸是另一招牌，湯底加入炒過的雪菜，搭配軟綿的旗魚魚丸，讓人回味。,+886 932 618 038,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/kung-fu-shanghai-fish-ball
魚麗共同廚房,北區德化街417號,Taichung,$$,臺灣菜,餐廳以家常菜為發想，取用在地小農的新鮮食材，根據時令每月調整菜餚。廚房團隊傳承老師傅手藝，同時鑽研食譜，讓幾近失傳的經典老菜得以復刻。招牌雞肉飯選用臺灣冠軍米，雞腿肉鮮嫩多汁，拌以腴潤的雞油，香氣與風味俱佳。設有一人份量菜單。用餐空間明亮簡樸，兩側層架放上食譜選書、食材和醬料，佈局見匠心。,+886 4 2225 9811,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shoal-cuisine
東引釣客,西區向上路一段96-2號,Taichung,$$,海鮮,老闆是專業釣手，以其熱愛的海釣地點東引島為餐廳命名。菜單設計與熱炒店近似，以海釣海鮮料理為主，並有少量馬祖特色菜。每天新鮮送達的海鮮，除了來自東引，也有澎湖、屏東後壁湖、新竹南寮等地。推薦越菜中卷，將醃漬的高麗菜與中卷同炒，滋味十足。店家自製的冬瓜醬蒸魚也值得一試。,+886 4 2301 1931,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/dongyin-fisherman
掬,大安區安和路一段135巷4號,Taipei,$$$$,日本菜,由擁有二十年日本料理經驗的主廚開設，餐廳以木質裝潢呈現傳統日式老屋格局，同時展示臺灣藝術家作品，與菜單的設計槪念互相呼應。套餐以割烹為基底，糅合在地食材和發酵技巧，提供十餘道菜色，除主菜招牌玉露鴨外，其他菜色均會根據季節調整。僅於晚餐營業，如想嘗試另一招牌乳鴿主菜，可於訂位時預留。,+886 2 2700 2701,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/kiku-1216129
繭 小料理,中西區府前路二段206巷6號,Tainan,$$,創新菜,位於靜謐的巷弄內，推開白色木門，映入眼簾的是帶有日式風格的空間，板前座位配合黃銅吊燈，營造出自在的氛圍。僅於晚餐營業，設有晚餐套餐及宵夜單點。九道菜套餐採用主廚每日在市場選購的食材，以日式酒食的形式呈現，菜餚小巧精美，味道淡雅輕盈。不妨加點黑板上的酒餚，品嚐不同風味。,無法取得,https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/mayu-cocoon
啢啢餐桌,北區民德路85巷63號,Tainan,$$$,時尚歐陸菜,開業數年後，搬遷至巷弄的三層樓透天厝，庭園的白石子路及牆面用色，予人溫暖舒適的感覺。兩位主廚融合歐洲烹調手法和臺灣飲食文化，套餐固定保留一道澱粉主食，並根據當季新鮮食材調整菜單。設有開放式廚房，如想感受料理過程的臨場感，別忘了於訂位時查詢一樓的用餐座位。,+886 916 786 592,https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/liang-liang-table
江牛樓,大同區民樂街6號,Taipei,$,麵食,日籍主廚曾經營拉麵店，為向遊客傳達臺灣牛肉麵的美味，遂開設此店。店面由老宅改建，保留抿石子地磚與復古家具，配上吧檯設計，用餐氣氛輕鬆。相較於傳統紅燒牛肉麵，這裡的湯頭以昆布、海鹽及醬油調味，側重牛骨和醬油風味，並添加花椒增添香氣；牛肉則以昆布和醬汁浸泡，肉質軟嫩多汁，滋味甚是獨特。麵食限量供應，建議開店前抵達登記。,無法取得,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/kou-gyu-rou
傳家鹹粥,安平區慶平路410號,Tainan,$,小吃,在這裡可品嚐鹹粥、虱目魚小吃、肉燥飯等街頭美食，空間帶有濃厚的懷舊氛圍，讓人彷彿回到昔日時光。招牌的虱目魚粥和滷魚肚，特選每日新鮮魚貨，後者的調味恰到好處，充分表現魚肉的鮮甜風味。店家自製的肉燥飯以肥肉為主，帶些許醬香，建議加點半熟蛋作搭配，帶來更濃郁滑順的口感。,+886 6 293 6960,https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/chuan-chia-congee
駄介,大安區四維路375之2號,Taipei,$$$,日本菜,主廚來自日本新潟縣，以日文提供體貼周到的服務。餐廳分為兩個區域，高腳吧檯提供單點的酒食料理，及板前座位呈現的無菜單料理，更為推薦後者，當中不乏主廚結合家鄉風味與臺灣食材的菜色。招牌餐點Das Burger，以店家自製的麵包搭配充滿肉汁的漢堡排；能平煮將小里芋等根莖食材煮至入味，充分展示傳統風味。,+886 2 2700 0375,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/dasuke
fumée,中山區中山北路二段39巷3號B3 (晶華酒店),Taipei,$$$,雞肉串燒,大阪燒鳥名店於海外開立的第一間姊妹店，年輕的日籍主廚走訪臺灣各地，了解在地食材，特別選用竹地雞、黃皮文昌雞等不同雞種，且多使用自製的雞油燒烤，令香氣倍增。菜單也融入刺蔥、馬告等在地香料，讓客人透過精巧的菜餚，品嚐到雞肉的不同面貌與口感。建議加點雞白肝或是提燈等珍稀部位。,+886 2 2536 1600,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/fumee
J Parc,三民區德興街1號,Kaohsiung,$$$,創新菜,主廚於美國進修後返臺，在2023年開設了這家餐廳。僅提供一款十道菜套餐，菜色不受菜系框架限制，糅合法、義、美式料理手法，以本地蔬食和日本海鮮入菜，並會每三個月更換菜單內容，將季節風味呈現其中。譬如在秋季用栗子粉代替麵粉，為麵包增添自然甜香。半開放式廚房提升了用餐體驗，建議預約板前座位。,+886 7 323 0600,https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/j-parc
永筵小館,前金區成功一路528號,Kaohsiung,$$,臺灣菜,前身為雲來坊家鄉小館，更名後遷至兩層樓的店面，落地窗有象徵一家團聚的玻璃彩繪，洋溢溫馨感覺。主廚傳承父親手藝，菜單選擇豐富，包括前菜、火鍋、肉類和鮮魚菜色，也可請店家推薦。招牌滑蛋蝦仁以類似蛋捲的形式呈現，條狀滑蛋結合飽滿彈牙的鮮蝦，不可錯過。菜餚現點現做，惟點餐後不可加點菜色。,+886 966 205 757,https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/yung-yen
蘇來傳,萬華區和平西路三段176巷4號,Taipei,$,小吃,開業至今已有70年，承傳三代，供應肉圓、芋粿和湯品。店面乾淨明亮，並將懷舊物件陳列其中。形似杯子的肉圓以每日現磨的在來米糊製成，並以油泡保留其彈性，內餡是豬胛心肉、香菇、栗子等，加上店家自製的黑醬，鹹甜交織，口味獨特。建議添加蒜泥或生辣醬，令味道更濃郁，也不妨搭配熱騰騰的四神湯。,+886 2 2302 6595,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/su-lai-chuan
UNA-VERSE,南屯區五權西路二段268號,Taichung,$$,創新菜,老闆兼主廚Una曾在多間高級餐廳磨練廚藝，專注於法式甜點及現代菜餚。她本著對臺灣風味的熱愛，開設了這家甜點餐廳，以時令的天然食材，製作出一道道富藝術氣息的甜品。室內裝潢以奶茶色為主，營造溫馨、優雅的感覺。坐在U形吧檯座位，客人可觀賞料理的準備過程，全情投入愉悅的味覺之旅。,無法取得,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/una-verse
繡球,西區中興街102號,Taichung,$,麵食,餐廳每個角落都蘊藏著巧思，以花窗玻璃、木造層架及極簡的灰色泥牆，營造出懷舊氛圍。老闆娘曾經營江浙私廚，故此處的麵食以川味和江浙風味為主，口味辛香，辣度相對溫和。不少客人為每日現做的小菜而來，品項依時令食材調整，其中冰糖㸆苦瓜值得推薦，不妨來碰碰運氣。每周僅營業三天，建議留意社群平台的公告。,+886 975 892 139,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/ajisai
Aleisha,大安區忠孝東路三段217巷4弄16號,Taipei,$$$,地中海菜,主廚出生於阿根廷，在愛爾蘭長大，到過許多國家工作，造就他擅長打破料理的疆界。餐廳以時尚地中海美食為特色，如以法國或義大利技術烹調海鮮和肉類，再配上中東香料調味；烹調上強調保留食材原味，大量採用希臘菜常見的橄欖、茄子。提供兩款品嚐菜單，菜色名稱以多種語言呈現，體現地中海地區的多樣性。,+886 978 003 000,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/aleisha
琥珀,信義區逸仙路32巷15號,Taipei,$$$$,日本菜,戶外小型日式庭院，加上室內的簡約原木裝潢、細緻的器皿，處處充滿細節。日籍料理長經驗豐富，親力親為烹調每道佳餚，特別注重風味的呈現。其單一季節性菜單使用大量九州漁獲，不論是炙燒胡麻豆腐或是椀物湯品，均風味淡雅，別具特色。主餐後以雙澱粉料理作結。精簡的酒單側重清酒選擇。,+886 2 8786 3320,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/kohaku-1213377
仙桃素,鼓山區明倫路496號,Kaohsiung,$$,素食,主廚在臺北素食餐廳工作多年後，返鄉開設此店。擅長以不同烹飪技法詮釋蔬食的他，共設計三款套餐，透過發酵、烘烤、燉煮或炙燒等技法展現蔬食風味，並依季節調整菜單，每道菜均精緻如畫，建議嘗試較高價位的套餐。幸運者可能嚐到以猴頭菇末料理的素肉燥飯，其風味清爽、鹹香可口。用餐氣氛輕鬆，適合與親友共聚。,+886 7 522 7700,https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/xiantaosu
欣欣餐廳,中西區民族路二段245號,Tainan,$$,臺灣菜,年過七旬的主廚人稱「阿塗師」，從早期宮廟攤販做起，經歷數十年光陰，其經典臺菜地位屹立不倒。鮮紅色的招牌、深紅的桌布、經典的果雕擺盤，細節中充滿特色。菜單上共十八道佳餚，全都是經典臺灣老菜。推薦古早味爆炒豬肝，以及源自酒家菜、帶淡淡酒香的酢醋蝦。建議於訂位時預訂費工的菜色，以免撲空。,+886 6 222 2509,https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/hsin-hsin
ZEA,大安區仁愛路四段300巷20弄5號,Taipei,$$$$,拉丁美洲菜,阿根廷主廚以拉丁語的「玉米」為餐廳命名，因為此農作物是拉丁美洲和臺灣飲食文化的重要元素。單一套餐包含十二道菜色，採用大量在地食材，當中包括不少原產自南美洲的品種，細膩展現出南美風味。酒單以阿根廷和西班牙酒款為主，價格實惠。淺黃與橘紅色混搭的牆面，加上仙人掌盆栽和背景的拉丁美洲音樂，感覺猶如置身當地。,無法取得,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/zea
大腕,中山區敬業二路199號5樓,Taipei,$$$,燒烤,這家日式燒肉餐廳於2021年底遷到現址，新店設計採用現代工業風格，裝潢廣用不鏽鋼素材與墨灰色調。空間寬敞，適合各類聚餐。主要供應來自日本宮崎的和牛，包含板腱、沙朗芯、翼板等部位。肉品油花豐富，並由專人在桌邊火爐為客人燒烤。當中，幻切牛舌為店內招牌，厚切的牛舌烤至五分熟後，呈現彈嫩口感。,+886 2 2711 0179,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/da-wan-1200838
蟳之屋,新興區民生一路93號,Kaohsiung,$$,海鮮,創立於1976年，是高雄第一間以澎湖海鮮為主題的餐廳。三層高的紅磚瓦樓外，掛著顯眼的大型螃蟹裝飾，十分引人注目。用餐室明亮寬敞，設有各式包廂，適合各類宴請聚會。餐廳每天從澎湖進貨，建議向服務人員查詢時令海鮮種類。不要錯過招牌菜鹽酥蟳，也推薦以傳統手法製作、酥香鮮美的三絲蝦棗。,+886 7 226 6127,https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/crab-s-house
阿明豬心冬粉 (保安路),中西區保安路72號,Tainan,$,小吃,小店裝潢樸實，開業近七十個年頭，專注豬內臟料理，豬心湯是其招牌菜。看似簡單常見的食材，經巧手處理和烹調後成為細緻滋味。時至今日，店主依然採用鋁杯隔水加熱豬內臟，以保持其脆嫩口感。同時供應以中藥材燉煮的排骨和鴨腳翅，也是滋味豐富。經常未到營業時間已有排隊人潮，要有久候的預備。,+886 6 223 3741,https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/a-ming-zhu-xing-baoan-road
京華煙雲,西區五權七街57號,Taichung,$$,京菜,餐廳外觀恍如中國的深宅大院，室內採用雕花窗框與仿古家具，風格典雅。菜單圍繞北方菜系，品項豐富，當中包括風味濃厚的合菜戴帽，還配上優美盛盤。以甜麵醬結合羊肉烹製的它似蜜，味鮮且香，十分下飯。提供單人套餐以至十人宴席，菜式全不添加味精，另供應江浙菜、臺灣菜等，選擇應有盡有。,+886 4 2372 5066,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/moment-in-beijing
一甲子餐飲,萬華區康定路79號,Taipei,$,小吃,位於艋舺祖師爺廟旁的臺南風味小店，至今已傳承了三代。老闆每天選用肥瘦均勻的五花肉，佐以自製小黃瓜、酸菜、滷豆乾，以及口感出眾的南部米，製作出招牌焢肉飯。此外，滷肉飯、刈包與麻豆碗粿也是店內熱門小吃，後者更限量供應。如果想嚐嚐北部口味，可以來一碗沙茶味道濃厚的豬血湯佐餐。,+886 2 2311 5241,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/yi-jia-zi
金賞軒,松山區敦化北路155巷111號,Taipei,$$,臺灣菜,餐廳雖小，卻充滿格調。空間整潔明亮，除了有偌大的玻璃窗，更配以古典畫作、精緻餐具和輕快的音樂，帶來加倍雅致的用餐體驗。主廚料理臺菜逾二十年，除了經典菜色，亦推薦其私房料理，例如佐以蒜酥和香菜末的香根牛肉、烹調費時的三杯燜雞，以及多款海鮮美食。服務親切貼心，更可以依用餐人數調整份量。,+886 2 8770 6086,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/jin-shang-hsuan
上海未名麵點,中區市府路69號,Taichung,$,麵食,開業逾七十載，經歴三代的傳承，堅持供應家庭風味的上海麵食。他們甚至與造麵廠合作，根據家傳配方，製作出獨家口味、不含化學添加劑的上海麵。推薦用新鮮豬肉烹調的豬排麵，佐以自由添加的醃蔥段，十分解膩。另有多款涼菜供外帶，如酸豆、黃瓜等。鮮製的烏梅汁帶天然甜酸味，更是不容錯過。,+886 4 2225 0377,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/no-name-noodles
美福乾式熟成牛排館,內湖區民善街128號2樓,Taipei,$$$$,牛排屋,由臺灣最大肉品進口商經營，乾式熟成室耗資千萬建造，並由有乾式熟成教父美名的陳重光執掌。店內牛排來自美國內布拉斯加州，熟成28天，甚至可客製至128天，建議於訂位時預留喜好的天數和部位。除了單點牛排，另有乾式熟成21天的宜蘭櫻桃鴨胸、美國極黑豬肉、濕式牛排套餐。用餐後更可到訪樓下的肉品超市。,+886 2 2796 1566,https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/fresh-aged
貳哥食堂,鼓山區青海路145號,Kaohsiung,$$,臺灣菜,主廚遵循「老二哲學」，期望低調地站穩腳步，故以此取名。用餐空間小巧溫馨，菜單則提供口味健康的臺式家常菜，適合與朋友相聚。招牌菜為化骨醬燒秋刀魚，一如其名，魚骨燉煮至軟綿可食，鮮美魚肉伴以香甜醬汁，甚是下飯。而主食除了白飯，也可選豬油拌飯、肉燥飯，甚或現點現蒸的千絲芋香糕，其綿滑滋味，值得一試。,+886 7 554 1123,https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/erge-shih-tang
醉月樓,中區中山路20號2樓 (宮原眼科),Taichung,$$,臺灣菜,作為臺中著名景點宮原眼科內的餐廳，室內裝潢華麗，呼應這已存續百年歷史的日式磚瓦建築。菜單設計以臺灣料理為主軸，並融入臺灣不同地區的飲食元素，例如客家桔醬以及臺中的蔴芛。不妨嚐嚐各式各樣的甜點選項，特別是聞名遐邇的冰品。菜色分量精巧，味道細膩，適合小型聚會，建議提前訂位。,+886 4 2227 1926,https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/moon-pavilion
Papillon,前鎮區林森四路189號26樓 (承億酒店),Kaohsiung,$$$$,時尚法國菜,以蝴蝶的法文命名，寓意料理過程就像化繭成蝶，漫長卻值得等待。法籍廚師擁有多年經驗，所提供的單一套餐糅合異國元素與法式精緻風格，並不定期替換菜色，持續為客人帶來新鮮感。室內空間寬敞，餐室中央的吧台採用樹木造型，搭配手工陶瓷餐具，處處可見心思。,+886 7 331 8888,https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/papillon-1204917
